@relation 'COVID-19 Survey Student Responses-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,16-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,10,12-17-weka.filters.unsupervised.attribute.StringToNominal-R6-weka.filters.unsupervised.attribute.OrdinalToNumeric-R6'

@attribute 'Time spent on Online Class' numeric
@attribute 'Time spent on self study' numeric
@attribute 'Time spent on fitness' numeric
@attribute 'Time spent on sleep' numeric
@attribute 'Time spent on social media' numeric
@attribute 'Time spent on TV' numeric
@attribute 'Time utilized' {YES,NO}

@data
2,4,0,7,3,0,YES
0,0,2,10,3,1,YES
7,3,0,6,2,1,NO
3,2,1,6,5,1,NO
3,3,1,8,3,0,NO
0,6,0,5,1,1,NO
2,2,1,5,4,1,NO
2,1,1,10,5,1,NO
3,4,1,8,2,0,NO
0,1,0.5,8,5,2,NO
3,3,1,8,3,0,NO
1,0,1,7,3,0,YES
3,0,0,8,3,1,NO
1,2,0,7,0,3,YES
5,1,0,8,3,1,NO
3,3,1,6,2,0,YES
0,0,0,8,2,0,NO
1,2,1,8,1,1,NO
0,4,0,7,7,4,NO
5,2,1,8,4,1,YES
4,5,0,6,2,0,YES
5,2,1,10,5,5,YES
4,1,0,8,6,0,NO
4,2,1,7,1,1,YES
3,4,2,9,2,0,YES
5,2,0,9,5,2,YES
4,5,0,8,3,1,NO
3,6,0,9,2,1,NO
8,4,1,6,2,3,YES
4,6,1,5,3,1,NO
4,5,1,7,2,0,YES
4,18,1,8,2,1,YES
0,5,2,4,2,1,YES
5,1,0,6,2,3,YES
0,6,1,6,5,1,YES
6,2,1,8,3,0,NO
4,1,1,7,1.5,1,NO
4,2,0,8,2,1,NO
1,2,0.5,8,2,5,NO
0,8,0,8,0,1,NO
4,4,2,6,4,1,YES
0,0,0,10,8,0,YES
7,2,1,8,2,5,NO
5,3,1,8,1,1,NO
2,2,3,12,1,1,NO
3,2,0,8,1,1,NO
2,6,2,7,1,2,YES
2,3,0,6,2,1,NO
3,4,2,8,2,1,YES
4,2,0,8,4,1,YES
0,1,0,8,2,5,NO
5,6,1,7,2,1,NO
3,17,0,5,1,1,NO
0,2,2,10,1,3,YES
4,4,1,8,2,5,YES
4,2,0,7,1,1,YES
2,2,2,8,1,1,NO
1,8,0,8,5,5,YES
5,1,1,7,1,1,NO
0,5,0,8,1,0,YES
6,6,0,6,1,1,YES
3,6,1,8,1,5,YES
0,2,1,6,5,1,NO
2,0,1,8,2,1,NO
2,1,1,7,5,0,YES
4,4,2,7,2,0,NO
0,0,2,6,4,3,NO
3,1,1,8,3,3,YES
1.5,3,2,9,1,0,NO
2,2,1,8,5,1,NO
2,3,1,6,2,0,NO
6,4,0,7,2,1,NO
2,2,0,7,3,5,NO
1,0.5,1,7,5,5,NO
3,2,2,8,8,1,NO
3,5,0,5,4,1,YES
0,1,1,8,2,1,YES
3,3,0,10,10,6,NO
3,0,1,8,5,0,NO
1,4,0,8,2,1,YES
5,5,0,8,7,0,NO
3,2,1,10,1,1,NO
2,2,0.5,9,3,0,YES
0,1,1,12,2,5,NO
1,8,0,10,1,1,YES
2,2,1,8,5,1,NO
5,3,1,7,1.5,1,YES
4,3,1,8,1,1,NO
3,4,1,7,1,1,NO
4,3,1,7,3,5,YES
4,3,1,7,1,1,NO
0,4,1,8,1,1,NO
4,0,0,8,2,7,NO
4,2,2,8,6,1,YES
2,3,1,5,4,0,NO
5,3,1,8,2,1,NO
3,1,0,10,4,1,NO
2,0,0,12,4,5,NO
1,3,2,10,1,5,NO
1,2,1,8,1,1,NO
6,2,2,7,2,0,YES
3,5,0,8,7,0,NO
4,4,1,7,1,1,YES
3,3,1,7,3,0,NO
2,7,2,8,0.5,1,YES
4,6,1,8,0.3,1,YES
2,1.5,1,7,2,8,NO
1,2,1,8,1,1,NO
2,3,1,8,1,0,YES
3,3,0,10,1,9,YES
0,2,2,8,0.15,10,YES
3,3,0,11,2,8,NO
1,4,1,8,1,1,NO
5,4,1,7,4,0,NO
2,3,1,10,2,1,NO
3,6,0,7,3,0,YES
4,8,1,8,2,5,YES
3,5,1,12,0.3,0,YES
4,2,2,7,2,0,YES
2,6,1,6,1,1,NO
2.5,2,1,8,1,1,NO
6,5,1,6,1,1,YES
4,4,1,8,1,1,YES
5,3,0,9,7,1,YES
1,2,0,7,1,1,NO
5,4,1,7,2,0,YES
2,3,0.5,6.5,1,3,YES
2,4,1,8,2,1,NO
1,3,1,6,4,7,YES
0,1,3,8,5,0,NO
3,3,0,9,2,5,YES
6,4,1,8,1,0,NO
2,2,1,9,2,5,YES
2,4,0,10,4,5,NO
5,1,1,8,1,1,YES
0.1,2.5,1,12,0.3,1,NO
3,5,1,7,2,1,NO
4,2,0.5,6,1,0,NO
1,10,1,7,1,1,YES
3,2,1,9,1,1,NO
3,5,0,7,2,0,YES
3,3,0,9,2,5,YES
1,1,0,6,0,1,YES
2,6,1,7,1,0,YES
2,2,2,8,2,2,YES
4,2,1,8,2,0,YES
6,1,1,6,1,1,YES
3,2,1,8,2,5,NO
6,3,0,7,2,3,NO
1,1,1,10,1,1,YES
2,2,1,10,2,1,NO
4,4,1,8,2,1,NO
4,7,2,6,1,0,YES
5,3,1,8,2,2,NO
1,3,0,6,1,0,NO
0.5,7,2,7,0.1,1,YES
3,1,0,6,2,1,NO
5,1,0,5,1,1,NO
4,6,2,6,1,0,YES
3,2,0,7,2,1,NO
4,2,0,7,2,9,NO
6,3,0,8,4,5,NO
0,1,0,10,4,1,NO
4,3,1,8,1,0,NO
1,4,1,7,2,1,NO
3,0,0,12,4,1,NO
4,4,0.5,8,2,1,YES
0,1,0,7,10,1,NO
0,3,2,12,1,1,NO
4,2,3,7,1,5,NO
0,3,2,8,2,0,YES
0,1,0,8,0.5,0,NO
4,3,2,10,1,0,YES
1,3,1,7,1,1,NO
5,4,0,10,2,9,YES
0,4,1,8,2,1,YES
3,3,1,7,1,5,YES
0,3,1,9,0,5,NO
6,2,1,8,4,1,NO
1,1,2,7,2,0,NO
1,2,1,8,3,1,YES
3,0.5,3,6,2,1,YES
2,2,1,8,2,5,YES
1,7,0,7,1,1,YES
3,1.5,1,6,2,7,NO
4,1,0,9,1.5,11,NO
1,4,0.5,11,1,1,NO
2,5,0,8,3,0,YES
2,10,0.25,8,2,1,YES
1,0,1,6,2,1,NO
5,5,0,7,3,5,NO
3,3,0.5,8,4,1,NO
3,8,3,7,3,1,NO
3,3,1,8,1,0,YES
3,0,5,8,10,12,NO
1.5,1,0,6,1,1,NO
4,4,1,7,2,5,YES
3,3,1,7,1,1,YES
3,5,0,7.5,2,3,YES
2,3,1,8,4,0,NO
0.5,3,1,8,1,1,YES
5,10,1,8,1,3,YES
3,4,0,8,2,1,YES
7,7,2,7,2,1,YES
0,0,2,12,6,1,NO
5,2.5,1,9,3,3,YES
7,4,1,7,1,1,YES
6,1,0,7,2,1,YES
3,6,1,9,0.5,0,YES
7,4,0,7,1,0,YES
6,5,0,7,2,1,NO
3,4,1,7,2,5,YES
6,1.5,2,7,2,3,YES
6,5,0.5,7,1,0,NO
3,4,0,7,4,1,YES
6,2,1,7,1,0,NO
4,2,0,7,0.5,3,NO
8,7,0,6,1,3,NO
0.5,5,0.5,10,1,0,YES
0,2,0,10,3,5,NO
4,3,1,8,3,1,YES
9,3,0,5,0.5,0,NO
1,8,2,8,2,5,YES
0,3,0,10,8,1,YES
1.5,0,0,9,6,5,YES
2,2,1,8,2,0,NO
2,5,1,9,2,1,YES
1,1,0,8,5,1,NO
4,5,2,5,3,1,YES
6,12,1,8,2,2,NO
0,10,1,5,0.5,1,NO
4,3,2,8,2,3,YES
6,4,2.5,8,0.5,1,YES
5,1.5,2,8,1,2,YES
5,10,1,6,1,1,YES
2,2,2,9,4,1,NO
5,12,0,7,1,1,NO
3,1,0.5,4,1,3,YES
1,1,0,8,1,5,NO
3,2,0,8,1,0,YES
0,2,1,8,4,1,YES
7,3,2,11,1.5,0,NO
6,2,1,9,3,3,NO
1,2,2,8,1,1,NO
4,2,0,7,3,5,YES
6,2,0,6,4,1,NO
5,4,2,7,2,5,NO
3,2,0,7,2,5,YES
4,0,0,9,1,0,NO
5,2,2,6,5,1,NO
0,8,0.5,5,3,0,YES
4,5,1,7,0.1,1,NO
4,4,0,8,2,5,NO
3,2,0,8,5,7,NO
0,3,0,8,4,0,NO
5,4,1,8,10,1,NO
4,8,0,6,1,1,YES
0,4,0.3,8,2,1,NO
5,1,0,7,1,7,NO
1,0,0,10,5,0,NO
0,1,0,8,4,5,NO
3,3,1,6,0.5,3,YES
4,2,1,8,4,1,NO
4,5,1,6,2,3,NO
6,3,0,7,1,0,NO
2,2,1,5,3,0,YES
5.5,5,1,9,1,0,NO
0,12,0,7,3,1,YES
0,0,0,7.5,3.5,5,YES
4,2,1,8,3,8,NO
3,5,1,7,1,1,NO
4,2.5,0.5,6,0.5,0,YES
0,8,1,8,2,1,YES
1,3,0,8,3,2,YES
1,1,3,9,2,1,NO
2,1,0,10,1,1,NO
2,3,1,9,3,2,NO
7,2,0,6,2,5,YES
0,2,0,8,3,11,NO
6,4,0,7,1,5,YES
5,6,0,8,1,1,YES
3,6,0.5,8,0.6,7,YES
5,2,1,8,2,8,NO
7,5,0.5,7,2,5,NO
1,2,0,10,1,3,NO
5,1,1,8,3,1,YES
3,9,1,6,1,1,NO
1,3,1,9,4,1,YES
3,3,0,8,2,0,NO
7,2,1,6,2,1,YES
2,1,1,7,5,0,NO
9,5,1,6,1,1,YES
0,1,0,9,5,5,YES
0,6,0,6,4,5,NO
2,3,1,8,1,5,YES
8,2,1,9,0,1,NO
1,3,1,7,3,5,NO
3,2,0.5,8,3,1,NO
0,1,0,10,3,5,NO
5,5,1,7,2,2,NO
5,5,1,8,1,5,YES
2,8,1,8,2,0,YES
4,1,1,8,4,0,YES
0,1,1,12,4,1,YES
3,3,2,6.5,2,5,NO
1,3,1,8,1,1,NO
3,4,0,6,3,9,NO
3,6,3,7,3,0,YES
4,3,0,8,4,1,YES
1,3,2,7,1,5,NO
5,3,2,10,6,0,YES
2,5,0,8,4,1,YES
4,2,0.5,9,1,13,NO
8,2,1,8,0.5,5,NO
1,4,0,6,6,9,NO
5,2,1,12,2,0,YES
0,0,2,7,6,1,YES
3,0,0,12,5,1,NO
2,2,1,10,2,14,YES
1,3,2,8,2,0,YES
0,1,1,7,1,5,NO
6,6,0,6,3,1,NO
4,2,1,9,2,0,NO
0,2,0,10,5,0,YES
5,2,0,8,0.5,0,NO
6,4,0,7,1,1,YES
0,2,1,7,1,1,YES
2,2,1,7,1,9,YES
1,0,0,12,10,5,NO
2,2,0,8,2,0,NO
5,2.3,0,8,2,2,YES
1,2,0,11,3,2,NO
2,2.5,0,9,2,0,NO
4,1,1,12,1,0,NO
8,6,0,6,1,1,YES
2,0,1,6,2,3,NO
4,10,0,8,1,0,NO
1,10,1,8,2,1,YES
3,3,1,7,1,5,YES
0,5,1,7,2,0,NO
4,4,1,6,1,0,YES
2,4,0,9,2,1,NO
5,2,1,9,1,0,NO
2,1,1,11,3,1,NO
1.5,2,1,8,1,3,YES
4,2,2,10,1,2,NO
0.5,2,0,8,1,1,YES
3,3,1,8,2,1,NO
5,3,3,8,3,5,YES
2,3,1,7,2,0,YES
0.75,5,1,6,2,5,NO
1,2,1,9,2,0,YES
1,2,1,7,2,2,NO
7,8,1,6,1,0,YES
2.5,1,0.5,6,2,0,YES
4,5,1,6,2,5,YES
2,1,3,11,3,5,NO
0,2,0,7,3,1,YES
6,0,1,7,4,0,YES
4,2,1,8,1,0,YES
5,1,1,9,2,1,YES
1,5,3,6,2,5,YES
3,0,1,8,3,1,NO
6,2.5,1,6,0,3,YES
3,3,0,7,2,1,NO
1,2,0,8,0,9,YES
1,2.5,0,6,4,0,YES
0.5,2,2,10,2,1,YES
2,1,1,8,1,5,YES
1,2,1,6,4,1,NO
1,1.2,0.5,10,0,5,YES
3,2,1,8,4,1,NO
1,2,0.5,8,2,5,NO
3,3,0,8,2,1,NO
4,3,0,7,1,3,YES
3,4,2,7,4,3,NO
0,4,2,7,2,5,YES
2,1,1,8,1,0,YES
3,2,0,12,2,2,NO
1,1,0,12,1,0,NO
4,2,1,8,2,0,YES
0,0,0,9,2,5,NO
